pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE Process Yellow C,1,1700,true,0.0,0.0,100.0,0.0,"0.0,0.0,1.0,0.0","0.9051,0.474588235294118,0.884156862745098",248,230,0,#F8E600,"0.972549019607843,0.901960784313726,0.0","0.949019607843137,0.898039215686275,0.0",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Magenta C,2,1700,true,0.0,100.0,0.0,0.0,"0.0,1.0,0.0,0.0","0.493,0.802745098039216,0.494078431372549",217,2,125,#D9027D,"0.850980392156863,0.00784313725490196,0.490196078431373","0.729411764705882,0.0352941176470588,0.47843137254902",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Cyan C,3,1700,true,100.0,0.0,0.0,0.0,"1.0,0.0,0.0,0.0","0.5864,0.353176470588235,0.313607843137255",0,163,224,#00A3E0,"0.0,0.63921568627451,0.87843137254902","0.0313725490196078,0.631372549019608,0.866666666666667",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Process Black C,4,1700,true,0.0,0.0,0.0,100.0,"0.0,0.0,0.0,1.0","0.1926,0.50443137254902,0.507843137254902",48,46,44,#302E2C,"0.188235294117647,0.180392156862745,0.172549019607843","0.2,0.196078431372549,0.188235294117647",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 100 CP,5,1700,true,1.0,0.0,70.0,0.0,"0.01,0.0,0.7,0.0","0.9209,0.475176470588235,0.746745098039216",246,235,105,#F6EB69,"0.964705882352941,0.92156862745098,0.411764705882353","0.952941176470588,0.917647058823529,0.447058823529412",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 101 CP,6,1700,true,1.0,0.0,78.0,0.0,"0.01,0.0,0.78,0.0","0.9185,0.474941176470588,0.762156862745098",246,234,95,#F6EA5F,"0.964705882352941,0.917647058823529,0.372549019607843","0.952941176470588,0.913725490196078,0.415686274509804",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 102 CP,7,1700,true,0.0,0.0,100.0,0.0,"0.0,0.0,1.0,0.0","0.9064,0.474117647058824,0.874941176470588",248,230,0,#F8E600,"0.972549019607843,0.901960784313726,0.0","0.952941176470588,0.898039215686275,0.105882352941176",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE Yellow CP,8,1700,true,0.0,1.0,100.0,0.0,"0.0,0.01,1.0,0.0","0.895,0.481529411764706,0.872745098039216",247,226,0,#F7E200,"0.968627450980392,0.886274509803922,0.0","0.945098039215686,0.882352941176471,0.0941176470588235",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 103 CP,9,1700,true,0.0,8.0,100.0,19.0,"0.0,0.08,1.0,0.19","0.7139,0.515921568627451,0.809725490196079",204,171,0,#CCAB00,"0.8,0.670588235294118,0.0","0.76078431372549,0.662745098039216,0.0784313725490196",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 104 CP,10,1700,true,3.0,10.0,100.0,29.0,"0.03,0.1,1.0,0.29","0.6418,0.510666666666667,0.780313725490196",180,153,0,#B49900,"0.705882352941177,0.6,0.0","0.670588235294118,0.592156862745098,0.0862745098039216",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
